Model,Accuracy,Precision,Recall,F1,ROC_AUC
gru_attention,0.8951111111111111,0.8744734625105307,0.9226666666666666,0.8979238754325259,0.9626218271604938
bilstm,0.8797777777777778,0.8665808665808665,0.8977777777777778,0.8819035145164811,0.9435484444444445
text_cnn,0.8622222222222222,0.914969450101833,0.7986666666666666,0.8528713811105838,0.945453037037037
cnn_lstm,0.7895555555555556,0.7337639038392537,0.9088888888888889,0.8119912646416517,0.8334938271604939
ensemble_top_3,0.8964444444444445,0.8939929328621908,0.8995555555555556,0.8967656180770935,0.9609839012345679
